A.J.,McInerney,2018,1.0,4.0,,164923.0,0.25
Aaron,Baddeley,2010,2.0,26.0,70.61,879317.0,0.07692307692307693
Aaron,Baddeley,2011,5.0,22.0,70.22,3157193.0,0.22727272727272727
Aaron,Baddeley,2012,3.0,22.0,71.56,1215753.0,0.13636363636363635
Aaron,Baddeley,2013,2.0,24.0,71.58,721024.0,0.08333333333333333
Aaron,Baddeley,2014,2.0,24.0,71.14,942559.0,0.08333333333333333
Aaron,Baddeley,2015,1.0,25.0,70.76,439925.0,0.04
Aaron,Baddeley,2016,5.0,28.0,70.53,1644915.0,0.17857142857142858
Aaron,Baddeley,2017,2.0,20.0,71.4,755356.0,0.1
Aaron,Baddeley,2018,1.0,27.0,70.74,725928.0,0.037037037037037035
Aaron,Goldberg,2010,,,,10615.0,
Aaron,Goldberg,2011,,,,,
Aaron,Goldberg,2012,,,,,
Aaron,Goldberg,2013,,,,,
Aaron,Goldberg,2014,,,,,
Aaron,Krueger,2014,,,,,
Aaron,Pike,2015,,,,,
Aaron,Pike,2016,,,,,
Aaron,Rai,2016,,,,,
Aaron,Rai,2017,,,,,
Aaron,Rai,2018,,,,,
Aaron,Townsend,2010,,,,,
Aaron,Townsend,2011,,,,,
Aaron,Townsend,2012,,,,,
Aaron,Townsend,2013,,,,,
Aaron,Townsend,2014,,,,,
Aaron,Townsend,2015,,,,,
Aaron,Watkins,2010,,,,5000.0,
Aaron,Watkins,2011,,,,,
Aaron,Watkins,2012,,,,143969.0,
Aaron,Watkins,2013,1.0,19.0,71.3,217495.0,0.05263157894736842
Aaron,Watkins,2014,,,,,
Aaron,Watkins,2015,,,,,
Aaron,Wise,2016,,,,69600.0,
Aaron,Wise,2017,1.0,6.0,,209488.0,0.16666666666666666
Aaron,Wise,2018,4.0,29.0,70.06,3486407.0,0.13793103448275862
Abraham,Ancer,2015,,,,,
Abraham,Ancer,2016,,,71.6,162811.0,
Abraham,Ancer,2017,,,,15820.0,
Abraham,Ancer,2018,5.0,30.0,70.26,1676695.0,0.16666666666666666
Adam,Bland,2010,,,,,
Adam,Bland,2011,,,,25500.0,
Adam,Bland,2012,,,,,
Adam,Bland,2013,,,,,
Adam,Bland,2014,,,,,
Adam,Bland,2015,,,,,
Adam,Bland,2016,,,,,
Adam,Bland,2017,,,,,
Adam,Bland,2018,,,,114500.0,
Adam,Blyth,2010,,,,5000.0,
Adam,Blyth,2012,,,,,
Adam,Blyth,2016,,,,,
Adam,Blyth,2017,,,,,
Adam,Blyth,2018,,,,,
Adam,Cornelson,2014,,,,,
Adam,Cornelson,2016,,,,,
Adam,Crawford,2010,,,,,
Adam,Crawford,2011,,,,,
Adam,Crawford,2012,,,,5000.0,
Adam,Crawford,2013,,,,,
Adam,Crawford,2014,,,,,
Adam,Crawford,2015,,,,,
Adam,D'Amario,2018,,,,,
Adam,Gee,2010,,,,,
Adam,Gee,2012,,,,,
Adam,Gee,2013,,,,,
Adam,Gee,2014,,,,,
Adam,Groom,2010,,,,,
Adam,Groom,2011,,,,,
Adam,Groom,2012,,,,,
Adam,Groom,2013,,,,,
Adam,Groom,2014,,,,,
Adam,Groom,2015,,,,,
Adam,Hadwin,2010,,,,19890.0,
Adam,Hadwin,2011,2.0,5.0,,440752.0,0.4
Adam,Hadwin,2012,,,,5000.0,
Adam,Hadwin,2013,,,,,
Adam,Hadwin,2014,,,,13034.0,
Adam,Hadwin,2015,3.0,30.0,70.72,937611.0,0.1
Adam,Hadwin,2016,2.0,27.0,70.47,1067809.0,0.07407407407407407
Adam,Hadwin,2017,5.0,28.0,70.62,3507512.0,0.17857142857142858
Adam,Hadwin,2018,3.0,25.0,70.56,1932488.0,0.12
Adam,Hart,2016,,,,11760.0,
Adam,Hodkinson,2017,,,,,
Adam,Long,2011,,,,,
Adam,Long,2014,,,,,
Adam,Long,2015,,,,,
Adam,Long,2016,,,,,
Adam,Long,2017,,,,,
Adam,Long,2018,,,,,
Adam,Meyer,2010,,,,,
Adam,Rainaud,2014,,,,,
Adam,Rainaud,2015,,,,,
Adam,Rainaud,2016,,,,,
Adam,Rainaud,2017,,,,,
Adam,Schenk,2015,,,,,
Adam,Schenk,2016,,,,,
Adam,Schenk,2017,,,,,
Adam,Schenk,2018,1.0,28.0,71.04,474923.0,0.03571428571428571
Adam,Scott,2010,4.0,20.0,70.84,2670852.0,0.2
Adam,Scott,2011,7.0,18.0,70.24,3984797.0,0.3888888888888889
